醫院名稱,縣市,層級,原始回報年薪,底薪,實際計薪月數(新欄位),小夜津貼_單班,全年小夜班數(新欄位),大夜津貼_單班,全年大夜班數(新欄位),年終獎金原文,年終獎金換算結果,其他固定獎金(新欄位),重新計算總額,差額,誤差百分比,驗算狀態,缺少欄位,目前是否仍顯示原始數字,數學不可能警示,__id
童綜合醫院（梧棲）,台中市,區域醫院,,42300,,500,,700,,約1.5個月,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,0FkTCu8VM96KH8KNpqgq
秀傳紀念醫院,彰化縣,醫學中心,,37600,,600,,720,,1個月,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,0pxI4Sp0RSGgSpUrgYkD
國軍花蓮總醫院,花蓮縣,軍職醫院,750000,40000,,500,,700,,1.5個月,,,,,,unverifiable,實際計薪月數；全年小夜班數；全年大夜班數,是（維持顯示原始回報數字，並標示狀態）,,0sS9e9so4lZ4RwJHhmbN
嘉南療養院,台南市,區域醫院,,34439,,400,,500,,最高1.5個月,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,1fIHfYkIIwIEcxw10FYA
新光吳火獅紀念醫院,台北市,醫學中心,,46030,,700,,900,,3.5個月,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,22etqaKHRXY95YU6dhNS
臺大癌醫中心分院,台北市,醫學中心,,47000,,600,,840,,底薪1.5個月+績效,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,3n8ZRbhbQteeCboFo7Bi
奇美醫療財團法人奇美醫院,台南市,醫學中心,940000,41758,,470,,940,,85000元,,,,,,unverifiable,實際計薪月數；全年小夜班數；全年大夜班數,是（維持顯示原始回報數字，並標示狀態）,,4O0KDFbMsn21OCzRVpQB
中國醫藥大學附設醫院,台中市,醫學中心,,40000,,500,,700,,2.5個月(端午/中秋各0.5+年終1.5),,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,61D506v9gluDeN9qBjYJ
維新精神專科醫院,台中市,地區醫院,,,,500,,700,,約2萬,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,6Ky1xJOnrzMReftMR9Kf
臺中榮民總醫院,台中市,醫學中心,,,,600,,840,,,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,8NyMj7syuJu2haeYScHI
振興醫療財團法人振興醫院,台北市,區域醫院,,,,,,,,,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,98iIrscKGQ9QSii9r9XX
國軍北投醫院,台北市,軍職醫院,1150000,,,600,,840,,1.5個月,,,,,,unverifiable,底薪（月薪固定收入）；實際計薪月數；全年小夜班數；全年大夜班數；年終獎金換算基準（年終獎金為「1.5個月」（月數制），但底薪缺漏，無法換算金額）,是（維持顯示原始回報數字，並標示狀態）,,9heMkxnmaQHrUMxnJDw9
臺北市立聯合醫院,台北市,區域醫院,,43500,,,,,,,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,BcuHmH1gRPqtYGmsxnyO
和信治癌中心醫院,台北市,醫學中心,800000,49000,,500,,700,,約10萬(1個月+考績),,,,,,unverifiable,實際計薪月數；全年小夜班數；全年大夜班數；年終獎金換算基準（年終獎金文字「約10萬(1個月+考績)」格式不明確（例如混合月數與績效、或多個條件並列），無法確定唯一換算基準）,是（維持顯示原始回報數字，並標示狀態）,,CYOnSoc5YzSYKQyTDLRj
衛生福利部玉里醫院,花蓮縣,地區醫院,650000,,,,,,,,,,,,,unverifiable,底薪（月薪固定收入）；實際計薪月數；全年小夜班數；全年大夜班數；年終獎金換算基準（年終獎金欄位空白（無法判斷是「真的沒有」還是「沒填」））,是（維持顯示原始回報數字，並標示狀態）,,Ccuy7Yh7kJBs5M7qjalo
衛生福利部臺南醫院,台南市,區域醫院,,35000,,,,,,1~1.5個月,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,CtZ6RJwuTh9PlGmpBKEw
國軍臺中總醫院,台中市,軍職醫院,1150000,,,400,,600,,1.5個月,,,,,,unverifiable,底薪（月薪固定收入）；實際計薪月數；全年小夜班數；全年大夜班數；年終獎金換算基準（年終獎金為「1.5個月」（月數制），但底薪缺漏，無法換算金額）,是（維持顯示原始回報數字，並標示狀態）,,DRdsIIboCH1syzzQdbvC
臺北榮民總醫院,台北市,醫學中心,890000,60000,,600,,840,,1.5個月,,,,,,unverifiable,實際計薪月數；全年小夜班數；全年大夜班數,是（維持顯示原始回報數字，並標示狀態）,,DoS7HlfPhJ2pUlJbu3MA
林口長庚紀念醫院,桃園市,醫學中心,,,,650,,900,,6個月底薪,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,FsckVdyGPTNyKqJCHSIf
馬偕紀念醫院新竹分院,新竹市,區域醫院,,39000,,600,,800,,,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,GR204aovF9mdqc7h2O20
臺中榮民總醫院埔里分院,南投縣,區域醫院,,42000,,500,,700,,,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,JIi72e9IMxHE9qtuRJDA
萬芳醫院,台北市,區域醫院,,,,400,,600,,,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,K4Pet8E6vE5GY5tBFmNS
衛生福利部桃園醫院,桃園市,區域醫院,,47500,,600,,840,,1.5個月,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,KyxOG9KT3syGqLcU71Mx
國立陽明交通大學附設醫院,宜蘭縣,區域醫院,660000,,,,,,,,,,,,,unverifiable,底薪（月薪固定收入）；實際計薪月數；全年小夜班數；全年大夜班數；年終獎金換算基準（年終獎金欄位空白（無法判斷是「真的沒有」還是「沒填」））,是（維持顯示原始回報數字，並標示狀態）,,MFxUFl79CbR7qA0TjRML
